,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,evol_stage,initial_mass,initial_Yinit,initial_feh,initial_MLT,star_age,frac_age,ms_age,effective_T,log_g,radius,star_feh,delta_nu_fit,hrgradient,fagegradient,initial_zx,star_zx,weights
0,32665,32665,32665,34420,1,0.9789499244659888,0.24898814155679025,-0.03586332205523668,2.2848194134055118,2.031640711085769,1.449430196809497,9.728644896925132,7.265079058043812,4.528641450902808,0.891259536529641,-0.060324493353878426,159.04491836808467,0.00017210229180526508,0.002124764915231364,0.016665381228941574,0.015752666604025474,7.265079058043812
1,2703,2703,2703,2861,1,1.116737858899577,0.28886007326737345,0.2551077629079541,1.8565356448715689,5.662459958608537,4.900549231993391,6.179947454861032,-28.438859812105626,4.220522842516105,1.3572469526214606,0.16930770224862834,91.40127278276634,0.00039632834911718464,0.002350148828704157,0.03256764367709021,0.02672921948063337,28.438859812105626
2,31422,31422,31422,33128,2,1.1261194077022414,0.28217010559454,0.34973268576457583,1.7758159858454734,8.33264793535352,7.595867573724504,7.196782709179598,-7.132595285818398,4.054147667018525,1.6497771526001597,0.2812606146009751,69.16118111096219,0.0012769990555482485,0.002973069813529073,0.040495919139421216,0.034589094229446025,7.132595285818398
3,26305,26305,26305,27722,1,1.1058952288640247,0.30339253072610306,-0.30803441734130843,1.7923200836091726,2.59390920529672,4.368439161413727,3.059324943324972,11.066381492086409,4.139365574992208,1.4829239571341393,-0.6471788068364179,76.6732042012987,0.0006027724038175619,0.002267627275959749,0.008905209840167957,0.00407849343928969,11.066381492086409
4,3779,3779,3779,4008,2,0.9416764158118618,0.29131915198621144,-0.11069986128273934,2.2765912602104588,9.926581254754606,9.966763166064897,7.4901725203834095,-7.669848703693931,3.6170999288522165,2.491925054762945,-0.12115932866517368,33.190189476674625,0.0006344189365876567,0.00020310199384504515,0.014027449490467152,0.013693650718598422,7.669848703693931
5,18309,18309,18309,19287,2,1.1713260086344757,0.27687713757486543,-0.33891141286565585,2.1341018548738964,3.8885543824294864,9.890232788640684,2.9835131472670637,26.96158705940903,3.62488712340167,2.7556454319279045,-0.3506107367169848,32.186147835049425,0.0014654608860836696,0.0005242965427563195,0.008294059794461434,0.008073611327260586,26.96158705940903
6,23227,23227,23227,24459,2,1.1282250661467368,0.25172180311208203,-0.12674957224635994,2.2990295543420576,6.546681954772412,9.371687974687276,4.727285741284583,3.0035798440843284,3.820393964443654,2.158957533406788,-0.14314618517484132,45.78048820940956,0.0015044319275473279,0.00047339443776339696,0.013518515478146965,0.0130176439758342,3.0035798440843284
7,15429,15429,15429,16267,2,1.0734821895599196,0.2633231399148733,-0.11935117658484162,1.8383172225485087,7.456652806078296,9.906069731463669,5.383586268326024,-10.012361840164543,3.6380939567433614,2.597144347155812,-0.1285510300740081,33.556461296075085,0.0007497287208441669,0.0002992203867230314,0.013750782041438848,0.01346255668063462,10.012361840164543
8,15914,15914,15914,16775,1,0.8327070158732695,0.2436101373127265,-0.24934110502073514,2.1326450682307434,8.260113103070928,2.7701628959727778,15.476642617878046,4.683583700953776,4.509885305254307,0.8399397525304815,-0.32965033600328186,160.59494569914904,0.0002279201362530612,0.002055164491134992,0.010193831951893708,0.008472825046843928,4.683583700953776
9,17002,17002,17002,17922,1,0.889768222694283,0.25718574094203106,-0.1553793374929512,2.1115212878750627,3.050960073209973,1.6027997533386322,11.94414235325554,6.118067631157657,4.5454848077612615,0.8333754803244536,-0.19003040072528407,167.6961836096067,0.00018498892012188423,0.0021068630376471775,0.012656080757888924,0.01168552352724846,6.118067631157657
10,40092,40092,40092,42284,2,1.131870504343098,0.3151451146084142,-0.13158624896777926,2.111846885220814,3.099709841167102,5.7815207830792845,3.1228324254312083,-4.644773867247365,4.060545156361063,1.6426283374365886,-0.4353533307944283,66.93804182893143,0.0011981939442420148,0.0004958721220442164,0.01336879691245638,0.006642403351978673,4.644773867247365
11,20863,20863,20863,21965,2,1.1620710540785926,0.31679666469332385,-0.1454552837879246,1.7282179909790198,3.5551889066454865,9.93392723219971,2.7563793728850623,-35.82545732403392,3.6121374558014088,2.7858003648580683,-0.15726444221425515,31.697386879603986,0.0011995141776363458,0.00044501834311455596,0.012948614190781872,0.012601264650035249,35.82545732403392
12,14540,14540,14540,15338,1,1.1189661762774004,0.3093798219245262,-0.13928647609736267,2.1593747401358296,2.4879037591529336,3.6811553451572414,3.3312943047364514,9.25282526209476,4.186259732139881,1.4132639798572018,-0.4838872216289937,83.25456786955299,0.0005767267678614581,0.003134695108022667,0.013133851415708558,0.005940067132382312,9.25282526209476
13,16844,16844,16844,17757,1,1.1264556992562051,0.3123522508439964,-0.29298212482550423,2.119422485300152,2.2318056356963885,4.145991302322129,2.7666328771587114,-0.8439196874179515,4.157403287685348,1.4658856424756586,-0.5981254152173755,78.40574462019612,0.0006364117009729352,0.00240262227885285,0.00921926821520391,0.004566181389522527,0.8439196874179515
14,20967,20967,20967,22074,2,1.0299617711756741,0.2967579176295698,0.4133428709962828,2.2443170264269154,12.002106575852268,8.923206513029893,8.99286372689832,-5.588923098263676,4.044833285082486,1.5938109749379046,0.37605629224200304,69.22320664717304,0.001310669059315934,0.0008137908490500334,0.04688365331577382,0.04302638580667861,5.588923098263676
