,Unnamed: 0,evol_stage,initial_mass,initial_Yinit,initial_feh,initial_MLT,star_age,frac_age,ms_age,effective_T,log_g,radius,star_feh,delta_nu_fit,hrgradient,fagegradient,initial_zx,star_zx
2868,4304500,2,0.95,0.32,-0.1,1.9,7.621818128270623,9.509228729067564,5.6278355760452845,5310.0300446216825,3.7805970969171296,2.073684539792856,-0.12151064339183275,44.627766042928116,0.0015259903737500744,0.0004956443525627742,0.014377341048509497,0.013682577964772213
2869,3469107,2,1.18,0.32,0.25,1.9,4.731124294127821,8.150153113911566,4.038653999045912,5778.2579340870325,3.9003777484911386,2.0157750649007298,0.18046570394274047,52.48487821881474,0.0014775459297639278,0.002081319737296861,0.0321868573217045,0.02742485113217584
2870,2360438,1,0.84,0.32,0.5,2.3,8.286238737252697,2.233730822284214,18.724853924139826,4974.007791524114,4.552086858630799,0.8036017806857971,0.4450419299640503,172.33307810473042,0.00026898972461370435,0.002378147811082032,0.05723722564904767,0.05043366215157353
2871,5961379,2,1.13,0.3,0.4,2.3,8.1654326081287,8.870767275306555,6.702170877161273,5471.928055584343,3.9885096535366946,1.7819999308946786,0.36541742305462027,61.41171992456236,0.0012487499350418644,0.0006774242257375772,0.045465144410323406,0.04198517791946083
2872,44523,2,0.91,0.3,-0.5,1.9,7.429343845186138,9.72002080836836,5.8369635893246,5429.531225152657,3.696633978874991,2.235122619736326,-0.5262960769413372,39.02299497051054,0.0011707820050753227,0.0003355990580385382,0.005723722564904768,0.005387440638565277
2873,1830406,2,1.07,0.32,0.2,1.7,6.723082485042507,9.111253222035572,5.2228961426155,5282.93351184568,3.837401954824252,2.062813255132169,0.16836150864248894,48.188636461667464,0.001121029152357274,0.00044956903823134553,0.028686566783546162,0.026671048154584282
2874,825552,2,1.15,0.28,0.45,1.7,7.822842537335412,5.975099341770963,7.844839163703778,5492.777825911884,4.157225280121192,1.48132298152755,0.3790238585283117,81.96096245619955,0.0005023813094671996,0.00020584720150368382,0.05101273105588661,0.04332139504235874
2875,7524326,2,1.12,0.24,0.0,2.1,7.791662708105781,8.214504119075935,6.0995429663212075,5755.441265042198,3.9997233231608735,1.7506328766081158,-0.05397651298438879,62.89101809169517,0.0015676821853642436,0.002333933018368484,0.0181,0.01598461063556347
2876,6658044,2,0.86,0.32,-0.4,2.3,8.417809765435901,9.763298574607916,6.57636050833753,5451.206778742159,3.7108263374484713,2.137622790882692,-0.4226221800908871,40.23273598064497,0.001537339648774916,0.0004939133191287358,0.0072057397870183,0.0068400046155747294
2877,8049245,2,1.195,0.31,0.25,2.0,4.7979750442655575,7.842109320408315,4.173560198913068,5847.390249623687,3.9402142034688064,1.9377827000682242,0.17415192718517938,55.9712275136409,0.001504646325805002,0.0028509773827459233,0.0321868573217045,0.027029032598372586
2878,6264156,2,0.93,0.28,0.2,2.3,15.829822298635499,9.580688324281153,12.484131265983072,4991.483491941833,3.8719203076935353,1.84769668351462,0.17451151768081585,52.23938506601615,0.0008905273075788132,0.00027844931287268615,0.028686566783546162,0.027051421572926757
2879,6859777,1,1.06,0.32,-0.1,2.3,3.212725337252084,4.157928903451396,3.82663703695618,6331.216086646364,4.2040525201369885,1.3476321066277088,-0.34480036484595633,88.50399355039066,0.00042653402674947824,0.0024587110622655284,0.014377341048509497,0.008182352967731413
2880,134728,1,1.12,0.24,0.35,2.1,8.082834234153246,3.993921035576004,9.82766685772984,5548.113442167446,4.351467545371464,1.1690145466784652,0.2780584574728942,114.23525378430936,0.00012663742799422987,0.0012843442623249324,0.04052085260808695,0.03433499846718762
2881,56668,2,1.07,0.3,0.5,2.3,11.546555157168415,9.446444956548731,8.152838781410544,5022.480922680919,3.9153943718352817,1.8853048453850687,0.4803650788636008,54.41228987337143,0.0013166703008002645,0.00040500339087756737,0.05723722564904767,0.05470709497515976
2882,826920,2,0.97,0.3,-0.2,2.3,7.162993177937026,9.008587705899295,5.491306770978645,5809.666371152974,3.8870011232530732,1.8542276935010624,-0.2423823468397361,53.45699067204402,0.0013622872475192404,0.0007664374445607303,0.011420327935091498,0.010358484679063544
2883,7756033,2,0.84,0.24,-0.4,1.9,15.140567176410574,8.487077585269418,13.577085805018378,5596.480450646035,4.073485730765611,1.3927787561712983,-0.5190122008235162,76.54463998599647,0.000982356675627962,0.0013021537149882634,0.0072057397870183,0.0054785593911528
2884,254489,1,1.12,0.32,0.35,1.7,2.9475891836710018,2.5999731456462687,5.4272234497501834,5852.419847572274,4.292220269562871,1.2515365959665081,0.26357040432797463,103.29531713321094,0.00035744590288860233,0.003776668707132391,0.04052085260808695,0.03320847857991123
2885,7821005,2,1.16,0.3,-0.4,1.7,3.0316630559755207,8.717244053926983,2.540286460254015,6584.62186074424,3.8544669675852457,2.106659945670906,-0.4818056567584924,45.39117824219082,0.0015677915312712221,0.0011271576889648196,0.0072057397870183,0.005968606095486028
2886,490895,1,0.98,0.28,-0.4,2.5,4.11029566807552,3.8274897495407543,5.3057289378823285,6405.668797169419,4.295341995480365,1.1665053012561264,-0.6478959010219859,104.94092196746723,0.0002053533108662347,0.001646958545339583,0.0072057397870183,0.004071764708389044
2887,7509957,3,0.87,0.32,0.5,2.3,20.936338365651004,9.919367951700556,16.23800624132776,4783.1889578599275,3.6760411960396433,2.238863097688564,0.4844617364625507,37.38024403838488,0.0006178108916879197,0.0001325537712070779,0.05723722564904767,0.05522558326027616
2888,5876408,2,1.11,0.26,-0.2,2.1,6.047616802409085,9.676323636677699,4.328376608338033,5279.069635787681,3.7179501972867968,2.409067440442357,-0.21180073840586447,38.349344789562714,0.0015335287235130931,0.0005421984437605777,0.011420327935091498,0.01111419050087818
2889,1999924,2,1.16,0.32,-0.2,2.3,2.7484969310019336,6.635753489523502,2.56162714843416,6688.029986379901,3.9830387840382766,1.8177972199230563,-0.3880589348547581,58.46983988335799,0.0003519791386968259,0.000865607907761079,0.011420327935091498,0.00740661277690923
2890,3328915,1,0.88,0.32,0.45,2.3,5.061985359475269,1.8413496640066358,14.640256412423506,5177.370440933496,4.556419843258361,0.8184197311239122,0.4112445233393762,171.50778960958172,0.00023444812448179293,0.002335789287076589,0.05101273105588661,0.046657675489140606
