,evol_stage,initial_mass,initial_Yinit,initial_feh,initial_MLT,star_age,frac_age,ms_age,effective_T,log_g,radius,star_feh,delta_nu_fit,nu_max,hrgradient,fagegradient,initial_zx,star_zx,weights
11128,2,1.17,0.28,0.0,2.1,4.074729049803409,5.768346242223188,4.091309808430505,0.06057636990389427,4.085062671112634,1.6235800266286238,-0.16055949377822967,70.98183182816301,1327.343969354402,0.0005499775599442662,0.00024021349886726995,0.0181,0.012506018911765735,0.06057636990389427
7758,1,1.03,0.28,0.0,2.1,5.434798382921803,4.256128434671562,6.227122736152007,-0.09659284039161582,4.272785613430653,1.2273155145094856,-0.11912685018646398,101.4805027286185,2081.0211885358094,0.0004347881851630578,0.005054715624133177,0.0181,0.013757886576121049,0.09659284039161582
14331,1,0.8,0.28,0.0,2.1,15.889274671371474,5.503262922956299,17.621887873516183,-0.13411847308676192,4.380831862590968,0.9551372275358772,-0.11946755326427895,130.42506994537058,2801.3233757019243,0.0004661509543014929,0.0036756172717562485,0.0181,0.013747097776430925,0.13411847308676192
429,2,0.9,0.28,0.0,2.1,14.138838868547792,10.0,11.034172315856123,-0.07456929477211305,3.5999439190209555,2.484910935667569,-0.0122777885143883,32.60072138527837,487.10416220802,0.0005282705262742683,0.00018498631026742096,0.0181,0.01759546653215669,0.07456929477211305
13934,1,1.16,0.28,0.0,2.1,0.1713015895211676,1.0739617123633138,4.199255540080211,0.427866426328606,4.402606366339482,1.1216839047593183,-0.012096124982443487,121.81717386757536,2731.278628906101,0.00020497308584911027,0.0036640444334622366,0.0181,0.017602828180426622,0.427866426328606
9016,1,1.05,0.28,0.0,2.1,0.6931889078799353,1.219497523902079,5.701476462362781,-0.07332603109439786,4.463793535228047,0.9945864967452226,-0.017669259410255617,139.652097201931,3219.5131765647784,0.00015527299190705286,0.0031040269408164345,0.0181,0.01737838104345867,0.07332603109439786
4629,2,1.04,0.28,0.0,2.1,6.662851212455639,6.300039850355236,5.9485837932703305,0.14760996753208727,4.146127865433656,1.4260302302256478,-0.10463603461030073,81.84261783610408,1558.5273443024853,0.000323982303189611,0.0019434484956191156,0.0181,0.014224681147007898,0.14760996753208727
691,2,0.87,0.28,0.0,2.1,14.970804524403894,8.668983378945502,12.671148526688686,0.036981597596460636,4.0837184044374535,1.4007644752328814,-0.0676378684318123,77.23916182004982,1408.2446305062397,0.0014577328203466034,0.0019019651655788339,0.0181,0.015489617963533842,0.036981597596460636
18707,1,1.2,0.28,0.0,2.1,3.6201675623783336,5.528358526593357,3.782354398433177,0.052973366194854904,4.102182034791398,1.6122941653276004,-0.17249522093802558,72.79766307183642,1390.6624838376715,0.0002500763754011767,0.0022370216272833976,0.0181,0.012166995682198388,0.052973366194854904
87,2,1.17,0.28,0.0,2.1,5.1817095258629635,9.285513282359808,4.091309808430505,0.0014772955695470241,3.795770364806781,2.2629820526342206,-0.01969623832795487,43.58354463316664,727.7203245606586,0.0011130875666408746,0.0004658738091839476,0.0181,0.017297460062176043,0.0014772955695470241
