,evol_stage,initial_mass,initial_Yinit,initial_feh,initial_MLT,star_age,frac_age,ms_age,effective_T,log_g,radius,star_feh,delta_nu_fit,nu_max,hrgradient,fagegradient,initial_zx,star_zx,weights
12247,2,1.08,0.28,0.0,2.1,6.2542894572478485,7.309064660288737,5.021366061182642,-7.178923934689919,4.045928911758296,1.6303093566165134,-0.08034720370551217,68.49641053180561,1237.5576620141494,0.0009337426529793711,0.0035231756669311665,0.0181,0.015042893165595466,7.178923934689919
9040,1,1.07,0.28,0.0,2.1,4.973361211750642,4.606912942991987,5.220910024115425,-13.912834025545635,4.222816248472924,1.3247711854677946,-0.13164313697082136,92.27371368785862,1844.166591805631,0.0005201590974770476,0.005465383376682009,0.0181,0.013367045855551535,13.912834025545635
15321,1,1.1,0.28,0.0,2.1,1.4866179462939824,1.6615804697620389,4.961535200625608,0.8709425707011178,4.385823339250129,1.1136003266588068,-0.06132922473278018,120.59460477345728,2658.258363607879,0.0001441351417799428,0.002644111500850005,0.0181,0.015716265255959008,0.8709425707011178
460,2,1.11,0.28,0.0,2.1,6.044032781507058,8.462057234509004,4.8147557497222335,-2.0061160667974036,3.9219657918827218,1.9063115088272315,-0.05712178636952407,55.15529751925577,941.3119823632272,0.0014807835667324431,0.0021520672022430354,0.0181,0.015869264124428323,2.0061160667974036
15071,1,1.08,0.28,0.0,2.1,3.0929831494418014,2.6743140069206413,5.021366061182642,0.9418583563119682,4.325682551934878,1.1825384713621825,-0.10808063597184328,109.46164391684486,2323.678438235034,0.00014491657331064462,0.002264311295820498,0.0181,0.014112304508878027,0.9418583563119682
10361,1,1.2,0.28,0.0,2.1,0.4850303102390412,1.2574568536204827,3.782354398433177,-0.7103533317867914,4.356598391582887,1.2029182226678157,-0.06551689052220977,110.60134790841869,2436.0940545305884,0.00019036562398063784,0.0033848908121496754,0.0181,0.015565450129536463,0.7103533317867914
5397,2,1.1,0.28,0.0,2.1,5.266404347974869,6.042350659886755,4.961535200625608,-5.41258162451868,4.1106943249221315,1.5280944566558332,-0.14787801884519086,75.83821870536634,1424.7396187297552,0.000364579646576474,0.0021858424879485083,0.0181,0.012876580760107656,5.41258162451868
719,2,1.18,0.28,0.0,2.1,3.938077013501984,5.739186837014863,3.985256389890727,-1.414012925816678,4.099316896277971,1.6039969207818887,-0.1643265218239737,72.78793833555216,1378.9816169778994,0.0009751129427170243,0.0011519213710393106,0.0181,0.012398012019328877,1.414012925816678
18799,1,1.07,0.28,0.0,2.1,1.4594084674369117,1.5655769333790777,5.220910024115425,-1.295723081459073,4.416032916521275,1.0607672606890206,-0.04616531666936068,128.0308230293267,2868.1985000525456,0.00015072579979646218,0.0029450064396956133,0.0181,0.01627470998535411,1.295723081459073
98,2,0.98,0.28,0.0,2.1,10.177774775234358,9.552070843434615,7.729886802681186,-1.7414548335509608,3.8157161516153884,2.0230990703978367,-0.02025209391956699,46.87711726908807,783.5575446774916,0.0014134820801012696,0.0006261938936512612,0.0181,0.017275335121959088,1.7414548335509608
14337,1,1.08,0.28,0.0,2.1,4.7514344787462495,4.531926169446249,5.021366061182642,15.179374444281166,4.2196660700290725,1.3357856588668444,-0.13539288948320127,91.5324712963322,1827.7949141577344,0.0005244540018020201,0.005606707209017903,0.0181,0.013252129934015169,15.179374444281166
13844,1,1.06,0.28,0.0,2.1,3.4266733299350687,2.7628474577699067,5.461143655387746,-0.021055567264738784,4.335327376298413,1.1586010591784313,-0.1013019174386487,111.89138294639216,2384.5281745478446,0.00015152109457191803,0.002319553447039324,0.0181,0.014334305542702423,0.021055567264738784
7030,2,1.17,0.28,0.0,2.1,4.1828871689099705,6.042997144138066,4.091309808430505,3.763750180435636,4.052540231680451,1.6853931578749326,-0.16055314468696225,67.23661564845679,1233.8418857884567,0.00033826227670097787,0.0013965512485777376,0.0181,0.01250620174263091,3.763750180435636
