,Unnamed: 0,evol_stage,initial_mass,initial_Yinit,initial_feh,initial_MLT,star_age,frac_age,ms_age,effective_T,log_g,radius,star_feh,delta_nu_fit,nu_max,hrgradient,fagegradient,initial_zx,star_zx
0,0,1,1.03,0.28,0.0,2.1,5.185211258573678,3.982244463344237,6.227122736152007,6000.140697188094,4.2874185265210185,1.20685203143973,-0.11728068676052765,104.0216546944424,2151.103632149529,0.000222694847436855,0.0025160346190740146,0.0181,0.013816495124525834
1,1,1,1.18,0.28,0.0,2.1,3.616001744574483,4.9749400948098215,3.985256389890727,6131.583848782122,4.138550509234638,1.5332410058202095,-0.18016999720899915,77.70840960985535,1510.3851173718745,0.00035709975812468417,0.002324022310153717,0.0181,0.011953871352838008
2,2,1,1.2,0.28,0.0,2.1,2.566157869159252,3.3603904809178657,3.782354398433177,6312.486871684274,4.202082383286633,1.4371235562992737,-0.2644938875128026,85.37123250113271,1723.0808806803766,0.0005881557920097781,0.005061735878752083,0.0181,0.00984429653693157
3,3,2,0.89,0.28,0.0,2.1,12.126670473352695,6.666856380031793,11.574597690565655,5679.1721229551795,4.245975551084973,1.1760963526322143,-0.10007200665319076,100.89503815331793,2009.8172046102593,0.00032515679345304665,0.0017541517486070466,0.0181,0.014374957462177157
4,4,2,0.91,0.28,0.0,2.1,13.518336062677493,9.87643403755029,10.561674426450939,4965.137633636939,3.6777759439735744,2.2847392654109555,-0.015553206850869071,37.31464078741149,580.9434002948364,0.0005491573287017589,0.00021744155605751825,0.0181,0.01746326193074137
5,5,2,1.2,0.28,0.0,2.1,3.951718242060945,6.465563595860129,3.782354398433177,6189.319158569044,4.0064002922997215,1.7998616015469668,-0.17178014542356712,61.59221749036096,1108.9255182443248,0.0003108317066415642,0.0011334083056009359,0.0181,0.012187045412572905
6,6,1,1.2,0.28,0.0,2.1,2.7140740921088655,3.6035573834619936,3.782354398433177,6291.007486209084,4.189173477228052,1.4586414850355998,-0.26162959063509883,83.61235081890202,1675.4709429159545,0.0006634382494547277,0.005091309888000439,0.0181,0.00990943707494417
7,7,1,0.98,0.28,0.0,2.1,0.782150159842928,1.1893765077714389,7.729886802681186,5827.054556668971,4.51789368009922,0.9028401713216772,-0.01244576928451958,156.0056480694052,3711.014593118849,0.00016622358407448982,0.0029949131034235424,0.0181,0.017588662097382385
8,8,2,1.12,0.28,0.0,2.1,6.248570298828487,9.805951206194171,4.693988360961042,5112.302608515892,3.675758838081292,2.5414281887963455,-0.010000832512200993,35.34582193925101,569.8677576750907,0.0008007355442767302,0.0004691636439834168,0.0181,0.017687959792683658
9,9,2,0.86,0.28,0.0,2.1,16.494791297233373,9.814827783874216,13.258938850590713,4941.227486527871,3.726721919090766,2.099508269140117,-0.021559243758343914,41.26826482419688,651.8205058734662,0.0005641442044782313,0.00020909586997541754,0.0181,0.017223417578832466
10,10,1,0.86,0.28,0.0,2.1,10.908531799716013,4.528596928128884,13.258938850590713,5605.2679777937365,4.390956631372796,0.9788487411646094,-0.10220162161313276,130.20502028825786,2824.7626710218474,0.000293208031292755,0.002767476228873467,0.0181,0.014304640682417512
11,11,1,0.83,0.28,0.0,2.1,8.232619198027857,2.7333915470423618,15.272600428535487,5424.611121560789,4.508702598967668,0.8397159904725808,-0.07208257534311438,160.62585392219802,3765.6661820879217,0.00025896481852790706,0.0029037244139843987,0.0181,0.015331900760942974
12,12,1,0.87,0.28,0.0,2.1,11.872981007215555,5.544721614399519,12.671148526688686,5640.73921854878,4.329483171433415,1.0565944663713922,-0.10724062645548033,116.86505536055859,2444.210945724103,0.0004582810886761997,0.003690955776094296,0.0181,0.014139626849809354
13,13,1,1.13,0.28,0.0,2.1,3.8605524853898414,4.297365112607031,4.562857433789538,6126.8169841800745,4.202221844902076,1.3943537724165591,-0.16936880262910595,87.63800761489979,1749.556271133478,0.0005593345960571032,0.004249346264756981,0.0181,0.012254900013574595
14,14,2,0.95,0.28,0.0,2.1,9.05514364423751,6.003091008404766,8.823142337632476,5813.196284371064,4.238159217180662,1.2262004130768596,-0.10228052656113876,97.86095728225322,1951.0807665160144,0.0003738238343089715,0.0025043391068275693,0.0181,0.014302041974748485
15,15,1,0.97,0.28,0.0,2.1,6.864474843764504,4.332790853250284,8.094449821985704,5874.282917246288,4.315456132533152,1.1339723824408354,-0.10455834565589812,110.8875475633843,2319.0078947263823,0.00020877482756379332,0.002226646353212069,0.0181,0.014227225962795725
16,16,2,0.8,0.28,0.0,2.1,20.93789738423727,9.461136169841973,17.621887873516183,5044.78364351335,3.944551098613878,1.5761676109311684,-0.04718331432245049,61.871103071613035,1065.2544329512614,0.0013558560118061016,0.0005298655787353557,0.0181,0.016236606313863155
17,17,1,0.95,0.28,0.0,2.1,6.157452077114708,3.382914572241162,8.823142337632476,5831.133791359949,4.385088553596404,1.0357673159260623,-0.08574188686059021,125.52465431163671,2732.3452515883537,0.00020151215940894881,0.0025321989058292305,0.0181,0.014857190365241062
18,18,1,0.87,0.28,0.0,2.1,2.2081903336836297,1.375150073110103,12.671148526688686,5455.838358612223,4.570462531011521,0.8007059163960283,-0.022489361724541284,176.14697228681192,4328.678267800133,0.0001930488518763737,0.002760072098987501,0.0181,0.01718657007462356
19,19,2,0.8,0.28,0.0,2.1,20.291126430883487,8.82666079785978,17.621887873516183,5321.1999519487,4.112137295995849,1.2999883257054663,-0.07688456184428757,82.88374021683138,1525.6539259803362,0.0013098350923928413,0.0014115438816709733,0.0181,0.015163309972324866
20,20,2,0.85,0.28,0.0,2.1,17.242512609425784,9.88193876568218,13.910367845083716,4917.958281313246,3.685975010373272,2.1873860174266744,-0.019903666176290045,38.528010868037406,594.8481488340676,0.0005173321302282685,0.000181607105315007,0.0181,0.017289200417249722
21,21,2,0.97,0.28,0.0,2.1,9.284920646156893,7.26599327959589,8.094449821985704,5798.238732503536,4.136589830191993,1.3921850339567765,-0.08797133210321811,82.09202257802673,1546.1987150742664,0.000756778972302372,0.0029633580600429976,0.0181,0.01478111659491154
22,22,2,0.92,0.28,0.0,2.1,12.96101545269564,9.81698939193458,10.10470156321042,4988.370776381531,3.7116537720035296,2.209479288163026,-0.01686474654162559,39.51005909879857,626.6108824026696,0.0006051688724968914,0.00025033363546300697,0.0181,0.01741060362400493
23,23,2,0.91,0.28,0.0,2.1,13.51139788827698,9.864832083325453,10.561674426450939,4967.803801714032,3.6847760315032,2.2664198470536827,-0.015982274587093916,37.78683516452636,590.2246427086702,0.0005647211885518183,0.00022171049594843506,0.0181,0.017446017359552774
24,24,2,1.07,0.28,0.0,2.1,7.1863674355579485,9.090941174311244,5.220910024115425,5547.92549427604,3.8790346523663866,1.9654554977149683,-0.026888902237380892,51.59455219604265,873.5602552212814,0.0012222550565596814,0.0007518306181985013,0.0181,0.01701334358292701
25,25,1,1.17,0.28,0.0,2.1,1.1380942393855806,1.6314201444105152,4.091309808430505,6351.665144096466,4.339173962134488,1.2118549092103843,-0.10339625227066254,108.7593638660844,2355.340442309283,0.0001677706768439484,0.002899077792455573,0.0181,0.0142653464219774
26,26,1,1.0,0.28,0.0,2.1,0.9901970079345456,1.2668347927038264,7.086683378199176,5894.330571695992,4.496024784635583,0.93525983616957,-0.01772074849649509,149.48365657828631,3508.57742309152,0.00016148702462554337,0.0030023168909063536,0.0181,0.017376320819447174
27,27,2,0.89,0.28,0.0,2.1,14.440144914759,9.574260741436143,11.574597690565655,5070.403174741274,3.847855363987721,1.8580471458236685,-0.028287937016158508,50.780968864907805,850.4673419227223,0.0012689446279894618,0.0005054835404504353,0.0181,0.016958625037696854
