,evol_stage,initial_mass,initial_Yinit,initial_feh,initial_MLT,star_age,frac_age,ms_age,effective_T,log_g,radius,star_feh,delta_nu_fit,nu_max,hrgradient,fagegradient,initial_zx,star_zx
0,2,1.0203691163057624,0.28,0.0,2.1,8.610293135190767,9.171259666326355,6.481143205314053,5456.061915002024,3.8978271925897365,1.8783145278837272,-0.02881820317271375,53.851585210224286,919.8374170271998,0.0012122959617409433,0.0006527989856431882,0.0181,0.01693793148152485
1,1,1.128017721544052,0.28,0.0,2.1,1.3797492013563768,1.678313049197841,4.593693862495635,6249.792140763332,4.363880828782528,1.1565441697361027,-0.07594444661701359,115.17143388242351,2513.457615992515,0.0001483177702801071,0.00265279733361648,0.0181,0.015196169470845738
2,2,1.1116978694410429,0.28,0.0,2.1,6.308343562726399,9.412451889836323,4.792621595891778,5325.460383816364,3.8006619997019513,2.1930727769607343,-0.018112432796172584,44.3840093356904,744.4009946268593,0.0011402458220489144,0.0004999542405540458,0.0181,0.01736065641632188
3,1,1.025958428414067,0.28,0.0,2.1,2.723931404008848,2.0450764771845797,6.331630646468088,6001.692877974994,4.411492979617594,1.0441504228923957,-0.060382817945547326,128.55318077096558,2862.065838391314,0.00016058498359557377,0.002734884663438325,0.0181,0.015750551204925595
4,2,1.0677560844223748,0.28,0.0,2.1,6.674052909814672,7.643267745561041,5.2908090026073396,5911.072453993814,4.028820261539429,1.653154841228984,-0.07182296358141924,66.77371391662282,1194.8424519405753,0.0010744953670633964,0.003332417272654764,0.0181,0.015341068576446959
5,2,1.1660237393358672,0.28,0.0,2.1,4.15677633707631,5.837975405324468,4.136310520223437,6197.425977980256,4.068353743036206,1.6522571948561156,-0.1594032920077906,69.08926914247549,1278.1198892422067,0.0003212139703073142,0.001172471301520539,0.0181,0.01253935745577316
6,2,1.1882847191148225,0.28,0.0,2.1,4.86458968766525,9.169031438997058,3.899093345759269,5552.416632338047,3.7990148168499487,2.272248918411147,-0.02340203380150801,43.771788003984106,726.268683315345,0.001155654003895599,0.0005036629996320041,0.0181,0.01715049033378833
7,2,0.9990820108419524,0.28,0.0,2.1,7.959733149763057,6.651048229268377,7.116143083194442,5879.728716634086,4.155970331040808,1.3819080597573004,-0.09837799556351344,84.12935862438592,1605.5181179892804,0.0002884406914610129,0.0015654442261906487,0.0181,0.014431137986341179
8,1,0.874433195789317,0.28,0.0,2.1,8.285501301500933,3.377592522850448,12.417809313499735,5617.404787905789,4.444020182140053,0.9285341985760722,-0.08326611626811546,141.88333391996105,3188.422361230671,0.0003062256545830755,0.0034965762148638224,0.0181,0.014942128212587991
9,2,1.0243626298745556,0.28,0.0,2.1,8.800472674642474,9.954363072161016,6.362779967545737,5022.182763753004,3.6222734086451567,2.58377516527894,-0.008100068337346474,32.849191424649234,508.3357764503533,0.000559638875941517,0.0002853053458378163,0.0181,0.01776554383393227
