,evol_stage,initial_mass,initial_Yinit,initial_feh,initial_MLT,star_age,frac_age,ms_age,effective_T,log_g,radius,star_feh,delta_nu_fit,nu_max,hrgradient,fagegradient,initial_zx,star_zx
2633,2,0.86,0.28,0.0,2.1,15.773337854027025,8.881768772239985,13.258938850590713,0.02429378190481657,4.059728245361955,1.4315883902027662,-0.06214393739086217,74.36500639106008,1341.1200190571985,0.0014928622931263125,0.001433660206058951,0.0181,0.01568681004007502
2634,1,1.02,0.28,0.0,2.1,3.784787190563923,2.6454227913558688,6.4924266393488015,-0.3619459315459608,4.374350905462446,1.0865990221195614,-0.08113111658793408,120.87905973247662,2628.755329518301,0.00016495908222499,0.002515129039347308,0.0181,0.01501576484158454
2635,2,1.05,0.28,0.0,2.1,7.805756797573071,9.342284737192662,5.701476462362781,-0.036976520908865496,3.8464576177078738,2.0212961593947107,-0.020726194149210786,48.818933540380755,825.1319055675128,0.0011485787203254767,0.0005235703836922179,0.0181,0.017256486686501406
2636,2,1.16,0.28,0.0,2.1,5.309833680840887,9.131865092937034,4.199255540080211,0.023682915338213206,3.818270671621767,2.1957122813647216,-0.02596501812804661,45.5400707834951,758.3232953918639,0.001172263404712601,0.0005573470384980794,0.0181,0.017049574963482982
2637,1,0.98,0.28,0.0,2.1,6.342069773499973,4.080632654615008,7.729886802681186,0.02382222055712191,4.321054164485386,1.132480238214197,-0.10280936277923744,111.645608463191,2344.035751426766,0.0001814189935090589,0.0020503181592933517,0.0181,0.014284637114659783
2638,2,0.88,0.28,0.0,2.1,15.314100179195194,9.982777099574953,12.11448733159481,-0.03230659118889889,3.60994720793832,2.429011286763878,-0.013766316497042632,33.377595570421235,499.04607803928633,0.000528045158544083,0.00017548775901687907,0.0181,0.017535261966582238
2639,1,1.2,0.28,0.0,2.1,3.0898318388172807,4.303380209755951,3.782354398433177,0.231483060579194,4.155030666320103,1.5171201150394054,-0.2353143571349347,79.23185750411696,1557.1640561594086,0.0004210903997844333,0.0027309532868847186,0.0181,0.010528444636122585
2640,2,1.06,0.28,0.0,2.1,7.6669905819624855,9.716536357762603,5.461143655387746,-0.04035933030536398,3.72472764041287,2.3361007760779664,-0.01148696684327206,39.10341042476648,637.5649255890091,0.0010000945995952285,0.0005436076344337293,0.0181,0.017627535908024156
2641,1,1.01,0.28,0.0,2.1,5.395145828358992,3.807427983698296,6.778158727378367,-0.13838930553629325,4.31221890428959,1.1614376797507129,-0.10710843028595968,109.08247913126759,2284.0547433802412,0.00016561792794061065,0.0019907923962400598,0.0181,0.014143931507365646
2642,2,1.18,0.28,0.0,2.1,5.058102646354741,9.433534580783276,3.985256389890727,-1.7906444522022866,3.7669191279731162,2.349340854062345,-0.015274377966920232,41.214759768913005,688.4784704381102,0.0014512935742616927,0.0006365714387650545,0.0181,0.017474477420394444
2643,2,1.13,0.28,0.0,2.1,5.6529536468988635,8.45647381770542,4.562857433789538,-0.1159531804796643,3.907788166061252,1.955179511380808,-0.05876117212016429,53.58866595335591,909.4971781943042,0.0014571639687874331,0.002068269625139396,0.0181,0.01580947334731125
2644,1,0.8,0.28,0.0,2.1,1.4152218998607269,1.1640332296310556,17.621887873516183,-0.0034587257705425145,4.616259293315238,0.7283833731072442,-0.011789077660722258,194.82921589047595,4970.082608046061,0.0002100669571440512,0.0026723418745249125,0.0181,0.01761527782591546
2645,2,1.02,0.28,0.0,2.1,8.956286200574565,9.995132701031933,6.4924266393488015,0.03922708960453747,3.6024267535579884,2.6377922251319177,-0.007285288066405691,31.75654366309801,486.1344464956365,0.0006138980365620396,0.0003055194135656025,0.0181,0.0177989050715523
2646,2,0.88,0.28,0.0,2.1,14.476238044727856,8.801982952068393,12.11448733159481,0.14157394051562733,4.057354791509618,1.452110065103856,-0.06110941769571417,73.62668216144898,1327.3214199944905,0.0015192993365805907,0.0016311733926425154,0.0181,0.01572422165468405
2647,2,1.02,0.28,0.0,2.1,8.817008378652133,9.643640386049425,6.4924266393488015,-0.06054538855278224,3.766355549124136,2.1844991314076565,-0.015195664439122928,42.51704353895602,700.9851055484837,0.0012770765547653205,0.0006292814106381162,0.0181,0.01747764486202214
2648,2,1.01,0.28,0.0,2.1,9.016878625771565,9.341286203607977,6.778158727378367,-0.4379716222929346,3.867603301985607,1.934829931105824,-0.024135698292337863,51.119833665459204,868.5548252400305,0.001169515987083391,0.0005183324696730329,0.0181,0.017121542041500126
2649,2,0.97,0.28,0.0,2.1,10.205412193548023,8.844684400559027,8.094449821985704,0.3041055362236875,3.983908322416795,1.658880261331214,-0.04670608616731515,63.35653472683482,1110.336691937495,0.001393660675361995,0.0013405663780674537,0.0181,0.01625445785204306
2650,2,1.18,0.28,0.0,2.1,5.0170291650053205,9.263172765227248,3.985256389890727,-0.027784234423052112,3.7930877364715423,2.279717925162746,-0.019867159349545808,43.30615387355672,721.992119972684,0.0011243631020430352,0.0004637429587319719,0.0181,0.017290653809819704
2651,2,1.12,0.28,0.0,2.1,6.073123025405991,9.197095424899944,4.693988360961042,0.02676482684637449,3.8330401255878734,2.120891441033602,-0.024704994193669283,47.05249475362239,789.4366199460255,0.0011543097995696868,0.0005432369013961269,0.0181,0.017099112933325646
2652,2,0.86,0.28,0.0,2.1,15.421477523773884,8.459428333067528,13.258938850590713,0.2157315699805622,4.1180567967623,1.3388244626994357,-0.0743699354144698,82.12829386266993,1521.0673760565921,0.0010916874908026351,0.0018814327844802747,0.0181,0.01525136235198152
2653,1,0.95,0.28,0.0,2.1,7.960970652342661,4.834153625543211,8.823142337632476,-0.004313763463869691,4.30467781612289,1.1361721375021985,-0.10546761829409763,109.4899919842746,2271.6851761716234,0.0006031141105947219,0.006019914846387975,0.0181,0.01419746989884386
2654,2,1.03,0.28,0.0,2.1,8.602089852657674,9.899012847835596,6.227122736152007,-0.46346975257711165,3.649383455909154,2.5113241281528267,-0.009014260363823405,34.411523845156225,540.2047838390173,0.0005956732441247058,0.00031212490679788374,0.0181,0.017728186608902623
2655,2,0.97,0.28,0.0,2.1,9.688893546156988,7.920792540615128,8.094449821985704,0.005212995708461676,4.083210586918913,1.4801261407644952,-0.07287708612599951,75.05363349588104,1373.955661249161,0.0010036175387148657,0.002652925453153987,0.0181,0.015303877782732669
