,evol_stage,initial_mass,initial_Yinit,initial_feh,initial_MLT,star_age,frac_age,ms_age,effective_T,log_g,radius,star_feh,delta_nu_fit,nu_max,hrgradient,fagegradient,initial_zx,star_zx
0,2,1.2,0.28,0.0,2.1,4.723250940168046,9.308271041406476,3.782354398433177,-0.358353827241754,3.7787989637322776,2.3371617318990974,-0.017950316707621473,42.041450843751,700.2975835466008,0.0012106043313137025,0.0004907518899982533,0.0181,0.017367138117544274
1,2,1.06,0.28,0.0,2.1,7.639244180316687,9.636908430286368,5.461143655387746,0.1817068679670796,3.755171521852473,2.255706699736002,-0.013058612327330948,41.30522501114209,681.3417785741557,0.0013873304649147493,0.0007269495282348215,0.0181,0.017563859830920462
2,2,1.19,0.28,0.0,2.1,4.714703047305446,8.665750393746665,3.8794280795262175,0.021664582903374772,3.846069811456612,2.1543009241349003,-0.05029856120514165,47.586095291826545,789.2709908189076,0.0013408384317991002,0.001301275864590501,0.0181,0.016120555891072846
3,2,1.19,0.28,0.0,2.1,4.771333624751481,8.893457190400653,3.8794280795262175,0.36074331486991107,3.8232370956167294,2.2115328523383115,-0.03784561793592525,45.75903571810598,755.4016961219742,0.001252645055958299,0.0008356091567204293,0.0181,0.016589487018172696
4,2,0.92,0.28,0.0,2.1,12.431680674723776,8.942632803892822,10.10470156321042,0.016224110838276226,4.005994380726957,1.5750393709104713,-0.05014137859511388,66.65173285780264,1178.3042962955178,0.0013926589573781836,0.0011418352271300725,0.0181,0.016126391400728888
5,1,0.86,0.28,0.0,2.1,9.908514250395351,3.9430249718791566,13.258938850590713,0.013622821790178916,4.423038218121553,0.9433542128458252,-0.09376556253206762,137.5317233066821,3045.3219903690833,0.0002779519751014179,0.0028534738888419398,0.0181,0.01458522094151852
6,2,1.1,0.28,0.0,2.1,6.6082667973378575,9.555526412771313,4.961535200625608,-0.06053842633182273,3.7679840282378336,2.2649159240705026,-0.015031135218713191,41.902603613858865,697.329593877587,0.0013153437144395623,0.0006368474666351709,0.0181,0.017484267391593682
7,2,1.02,0.28,0.0,2.1,8.919975402587303,9.902279871899538,6.4924266393488015,0.028225742776970528,3.6498613188907663,2.497737610916491,-0.00936254964054628,34.52379657971838,541.1412834454212,0.0005986252184343336,0.0003026094663740597,0.0181,0.01771397491078767
8,2,1.2,0.28,0.0,2.1,4.767730755850391,9.505895978026478,3.782354398433177,-0.08867145532772092,3.745383294264456,2.4287067192194174,-0.013250916055688308,39.460610011989424,657.6614896598736,0.0012352594883388638,0.0005854511525378303,0.0181,0.017556084350944377
9,2,1.17,0.28,0.0,2.1,5.268448918062627,9.63843523777269,4.091309808430505,0.06817195552641545,3.720876517207936,2.466533354206566,-0.01179605634943595,37.95126837164289,626.7512056840171,0.0016181601932998267,0.0008965604226029988,0.0181,0.017614994767856964
10,2,0.91,0.28,0.0,2.1,12.992723655035427,9.0350108452244,10.561674426450939,0.11785050578993131,3.9968277512785457,1.5830300712280672,-0.04784464493601372,65.76835254793109,1159.0739615752968,0.001330884686310709,0.0009405082506435125,0.0181,0.01621190051206747
11,2,0.98,0.28,0.0,2.1,10.022116450980134,9.228008317637661,7.729886802681186,0.005902980626634732,3.9110221398970113,1.8130851455869608,-0.030975541520130764,55.606368799608326,954.6760025407068,0.001206873546370373,0.0005988849756841663,0.0181,0.016854001698376777
12,1,0.8,0.28,0.0,2.1,10.541109193582953,3.0998104904268335,17.621887873516183,-0.036109534222650834,4.5060497598201135,0.8269224644777655,-0.08385259673982846,161.51163618287327,3775.915972311698,0.00030439670849299985,0.0030496565837719314,0.0181,0.014921963664384632
13,2,1.02,0.28,0.0,2.1,8.954213153755912,9.989808212895328,6.4924266393488015,-0.05283516561432475,3.6051143752868864,2.6296515931113653,-0.007541458955921011,31.90698266667463,489.1079517218458,0.0007137470958830529,0.00035448514445379775,0.0181,0.017788409389340735
14,1,1.18,0.28,0.0,2.1,3.0331523637255047,3.8412741830267323,3.985256389890727,-0.10667835376610846,4.1899401951969155,1.4451588365383776,-0.22926294853406706,84.43542359959531,1685.5722272773255,0.0006097633372901776,0.004646910729568743,0.0181,0.010676173583126081
15,1,1.06,0.28,0.0,2.1,4.190906393632603,3.4656957538312128,5.461143655387746,-0.03405524773841086,4.292990462980087,1.2164727304774328,-0.12179097337572875,104.14776573257544,2165.7209960660625,0.00014348079157948593,0.001851481748564754,0.0181,0.013673748934318955
16,2,0.96,0.28,0.0,2.1,11.100862136083677,9.805026612021473,8.459324558709586,-0.025225654049865327,3.708731390379458,2.264581852050399,-0.014682127359591029,38.899330289092475,620.4164797565005,0.0006416227788099369,0.00029157375766408755,0.0181,0.017498323750922296
17,2,0.89,0.28,0.0,2.1,14.211464660126905,9.237789294353606,11.574597690565655,0.04817739093592319,3.966045019159551,1.6219176474322636,-0.04258678195994033,62.64238240215671,1092.8659066311143,0.0012651884674250349,0.0006322971647343412,0.0181,0.016409365665171087
