,evol_stage,initial_mass,initial_Yinit,initial_feh,initial_MLT,star_age,frac_age,ms_age,effective_T,log_g,radius,star_feh,delta_nu_fit,hrgradient,fagegradient,initial_zx,star_zx
4744,2,0.85,0.28,0.0,2.1,16.265415869987045,0.9447557014115833,13.910367845083716,5444.912680949699,4.0979368838956,1.362108893470766,-0.07063527142898271,79.60802736945445,0.0013445811089333832,0.001764385953608838,0.0181,0.015383080171270103
4745,2,1.13,0.28,0.0,2.1,5.803082958208951,0.9697798657530391,4.562857433789538,5661.971600419761,3.856023566022961,2.074926113992671,-0.035477956478470164,48.99627058036128,0.0012550626614503877,0.0008475448076294967,0.0181,0.016680175601692028
4746,1,0.84,0.28,0.0,2.1,3.035190102926824,0.16904408316227032,14.576375251050134,5342.101247553844,4.5782587390984295,0.7797492221420449,-0.0281430501044736,180.18285963841788,0.00020491564769501536,0.0027023093694085454,0.0181,0.016964283623783657
4747,1,1.06,0.28,0.0,2.1,2.881307413838582,0.376434012511609,5.461143655387746,6090.023876777621,4.363002430660584,1.1222675200047991,-0.0853129270819156,117.27933999634459,0.00015309118610334143,0.0025454379209760014,0.0181,0.014871872305304758
4748,1,1.18,0.28,0.0,2.1,2.804053303707428,0.5525233723266515,3.985256389890727,6270.438486677226,4.208965308031434,1.4138489913458645,-0.2337278882623189,87.08038138928957,0.0005662326014582512,0.004914518624155817,0.0181,0.010566975162117034
4749,2,0.8,0.28,0.0,2.1,21.161877586216875,0.9918410964918044,17.621887873516183,4923.532390775685,3.8239670777029753,1.810631482801904,-0.03416310384712716,49.95339075480118,0.0006588231993425349,0.00023588931628493182,0.0181,0.016730752358730137
4750,2,0.97,0.28,0.0,2.1,9.898571222981426,0.927769684514422,8.094449821985704,5695.860906020491,4.049191008905473,1.5390663292354794,-0.06383844683285829,70.8566150069298,0.0015055138392253988,0.0030285301344521454,0.0181,0.01562572324505194
4751,1,1.08,0.28,0.0,2.1,3.28137702781766,0.46031016819869763,5.021366061182642,6129.761923345122,4.3150795478724016,1.1970623745994569,-0.11435166145674415,107.50929699530673,0.0001427523573178558,0.002148037674820358,0.0181,0.013909993063182486
4752,1,0.8,0.28,0.0,2.1,14.622086530323735,0.6853260670348208,17.621887873516183,5419.863582756373,4.418205091822822,0.9149284330560368,-0.11240755209146262,139.05160253257674,0.0003810895209356448,0.0030994486738145643,0.0181,0.013972400408906354
4753,2,1.19,0.28,0.0,2.1,3.888376067506272,0.7915539512395406,3.8794280795262175,6236.439584527937,4.048512600084063,1.7077446390451605,-0.16786710038531616,66.14346818956982,0.0003218262254362611,0.0006937021882210681,0.0181,0.012297348319057981
4754,2,1.09,0.28,0.0,2.1,6.355093525991242,0.9236393628475844,4.824137932989341,5880.044744436771,3.9728176107144773,1.78126103515749,-0.0557763533556038,60.43111205224888,0.0016012656238393957,0.0034751096224212574,0.0181,0.0159185029229867
4755,2,1.12,0.28,0.0,2.1,6.150084815426237,0.9931640013696272,4.693988360961042,5291.039158091592,3.7856267600423217,2.2397094928133567,-0.016673774556749562,43.101143209971674,0.0011628906174250449,0.0005258680715990449,0.0181,0.017418261259120837
4756,2,0.81,0.28,0.0,2.1,20.235062513694945,0.9907422568042211,16.79171875512362,4946.100031402007,3.8369343772871565,1.7949496404625769,-0.03418703911701187,50.980133335511255,0.0007357525887174109,0.0002655207472057608,0.0181,0.016729830302257328
4757,2,0.98,0.28,0.0,2.1,8.809235449291274,0.8577379506694797,7.729886802681186,5827.4278873758785,4.143848441068092,1.3877599537434215,-0.0912738663509105,82.86104784373725,0.0008745017691636425,0.0038131050681398104,0.0181,0.014669141860574691
4758,2,0.99,0.28,0.0,2.1,7.79112898351441,0.7876128239952095,7.406038867892791,5887.519032364809,4.204705704079512,1.3008064465114806,-0.10398445759979248,91.50432642192871,0.0003661085788137975,0.0024135211507434473,0.0181,0.014246038617300887
4759,2,0.92,0.28,0.0,2.1,12.891403494644036,0.9952206988715082,10.10470156321042,5031.849905484094,3.776302565943421,2.05114697843517,-0.020697859681619253,44.343655650290096,0.0008095300405754326,0.00033929663604170823,0.0181,0.017257612579953337
4760,2,0.99,0.28,0.0,2.1,9.415881279866353,0.9518606174960201,7.406038867892791,5623.764231276785,3.983110261888868,1.6774484827354004,-0.0476553268095872,62.9674627117005,0.001441185621509602,0.0016434921135901615,0.0181,0.016218969162077664
4761,1,0.99,0.28,0.0,2.1,4.447703420418671,0.44962267453938926,7.406038867892791,5924.532616741757,4.389640754297294,1.0518211439600942,-0.07737532015178003,125.07978642520688,0.00017529029704982447,0.0025344475094943864,0.0181,0.015146184916113704
4762,2,1.16,0.28,0.0,2.1,4.132104385744931,0.763047578690184,4.199255540080211,6114.273232382408,4.119555032044836,1.5537291164497469,-0.15701643663014744,75.73337640752388,0.0009591766304761761,0.0015930109706123186,0.0181,0.012608462707170486
4763,1,0.99,0.28,0.0,2.1,2.3333092152869708,0.23587650316081027,7.406038867892791,5892.779647861499,4.4652254998586525,0.9641609192891708,-0.04015810710589986,142.24066096519672,0.0001652024135236898,0.0028443511821380496,0.0181,0.01650138768492599
4764,2,1.16,0.28,0.0,2.1,4.900391162067802,0.9049218659021143,4.199255540080211,6009.033622455221,3.9529060661777033,1.8812336724192933,-0.10479464895014294,57.31253787946538,0.0013352368106774649,0.003587907422269665,0.0181,0.014219486914664051
4765,2,1.1,0.28,0.0,2.1,6.509560790057626,0.981856709505825,4.961535200625608,5459.383049368938,3.838603358731128,2.0882596156780737,-0.02381036110130412,47.68992544275512,0.0011592297737856906,0.0005379735682802256,0.0181,0.01713437287757942
4766,1,0.88,0.28,0.0,2.1,6.867626397357474,0.45150414273641604,12.11448733159481,5610.922866911806,4.4727707031015695,0.9011574163871662,-0.07101055097285024,148.740628260625,0.0002112172681224734,0.0026279962626344355,0.0181,0.015369793191983979
4767,1,1.12,0.28,0.0,2.1,1.0236196906717343,0.1653021475928738,4.693988360961042,6227.936117933728,4.389637311523824,1.1187551107156166,-0.05096558670541446,120.6798340617805,0.00015576424146327916,0.0029472740316335982,0.0181,0.016095815607708567
4768,2,0.85,0.28,0.0,2.1,17.197526717015418,0.9988961577095713,13.910367845083716,4931.140358780901,3.7253078752437534,2.0906504370638834,-0.02219889057047823,41.28178364885682,0.0005598320182978482,0.00020046138499696387,0.0181,0.017198068891447593
